C:\Users\Mec Cad 2018\Desktop\temp\at-pac2
NOPHASE;TCTNF1800;Tube of 180;8;0;6.73;0
NOPHASE;TLEGNO_7.9X0.8;Codice: tlegno_7.9x0.8 **;8;0;0;0
NOPHASE;TCTNF0600;Tube of 60;38;0;2.24;0
NOPHASE;TLEGNO_3.9X0.8;Codice: tlegno_3.9x0.8 **;40;0;0;0
NOPHASE;RSL182;Ledger 182;20;0;6.3;0
NOPHASE;RSSP182;Platform 24x182;12;0;11.56;0
NOPHASE;SSTBL182;Toeboard 182;4;0;5.28;0
NOPHASE;TCTNF1200;Tube of 120;8;0;4.48;0
FASE_-_20/11/02-A;TLEGNO_5.9X0.8;Codice: tlegno_5.9x0.8 **;8;0;0;0
FASE_-_20/11/02-A;TCRAB55;Right Angle I-Bolt Clamp;140;0;1.52;0
FASE_-_20/11/02-A;TCTNF0300;Tube of 30;16;0;1.12;0
FASE_-_20/11/02-A;TLEGNO_2X0.8;Codice: tlegno_2x0.8 **;16;0;0;0
FASE_-_20/11/02-A;RSS100;Standard 100;43;0;6.69;0
FASE_-_FASE-ULT;RSL305;Ledger 305;250;0;12;0
FASE_-_FASE-ULT;RSSP305;Platform 24x305;150;0;19.95;0
FASE_-_FASE-ULT;SSTBL305;Toeboard 305;50;0;8.44;0
FASE_-_FASE-ULT;SBJ24;Base plate adj. 60;86;0;3.78;0
FASE_-_FASE-ULT;RSBC;Base collar;86;0;1.72;0
FASE_-_FASE-ULT;RSS300;Standard 300;98;0;16.08;0
FASE_-_FASE-ULT;SPT;Pig tail;268;0;0.06;0
FASE_-_FASE-ULT;RSS200;Standard 200;41;0;12.63;0
FASE_-_FASE-ULT;RSSP091;Platform 24x91;54;0;6.75;0
FASE_-_FASE-ULT;RSL091;Ledger 91;255;10;6.3;0
FASE_-_FASE-ULT;SSTBL091;Toeboard 91;34;1.5;2.81;0
FASE_-_FASE-ULT;GT000115;Anchoring 65;22;0.5;3.6;0
